BFrequency,IConcreteness,IFrequency,ILetters,IPhonNeighbour,IPhonemes,ISyllables,Initial,POS,TConcreteness,TFrequency,TLetters,TPOS,TPhonNeighbour,TPhonemes,TSyllables,Trailing,acc,accuracy,category,correct,correct_response,response_time,response_time_keyboard_response
-,3.76,10476,4,15,3,1,blue,Adjective,-,-,6,-,-,5,-,tryned,95.91836735,95.91836735,word,1,[nonword_response],420,420
58,3.16,33611,5,17,3,1,young,Adjective,1.69,923975,3,Verb,28,3,1,was,95.95959596,95.95959596,word,1,[word_response],351,351
-,2.21,3908,6,33,3,1,taught,Verb,-,-,7,-,-,5,-,quoopes,96,96,word,1,[nonword_response],504,504
-,4.67,12147,4,32,3,1,hall,Noun,-,-,8,-,-,5,-,squourth,96.03960396,96.03960396,word,1,[nonword_response],442,442
-,3.64,2085,6,22,4,1,rolled,Verb,-,-,6,-,-,4,-,glorpe,96.07843137,96.07843137,word,1,[nonword_response],551,551
-,4.18,156114,3,40,2,1,two,Number,-,-,3,-,-,3,-,igs,96.11650485,96.11650485,word,1,[nonword_response],346,346
-,4.39,10746,8,2,6,2,yourself,Pronoun,-,-,7,-,-,5,-,plaiffs,96.15384615,96.15384615,word,1,[nonword_response],366,366
-,2.81,1089559,2,34,2,1,it,Pronoun,-,-,8,-,-,5,-,creuphed,96.19047619,96.19047619,word,1,[nonword_response],313,313
736,4.64,18306,4,20,3,1,town,Noun,4.67,12147,4,Noun,32,3,1,hall,96.22641509,96.22641509,word,1,[word_response],2439,2439
-,2.96,7480,7,17,5,2,setting,Verb,-,-,6,-,-,4,-,sloice,96.26168224,96.26168224,word,1,[nonword_response],409,409
-,5,3647,6,12,5,1,stairs,Noun,-,-,7,-,-,4,-,sckorle,96.2962963,96.2962963,word,1,[nonword_response],403,403
12,1.72,41170,5,9,4,1,quite,Adverb,1.69,5778,7,Adjective,2,6,2,perfect,96.33027523,96.33027523,word,1,[word_response],348,348
-,2.14,463240,4,11,3,1,this,Determiner,-,-,7,-,-,6,-,sprolte,96.36363636,96.36363636,word,1,[nonword_response],318,318
213,2.21,3908,6,33,3,1,taught,Verb,1.55,513078,2,Preposition,39,2,1,by,95.4954955,95.4954955,word,0,[word_response],307,307
209,1.42,19810,3,5,3,2,ago,Adverb,3.36,380284,3,Pronoun,41,2,1,she,95.53571429,95.53571429,word,1,[word_response],350,350
-,2.93,433475,4,25,2,1,they,Pronoun,-,-,7,-,-,4,-,ghroode,95.57522124,95.57522124,word,1,[nonword_response],333,333
-,1.55,513078,2,39,2,1,by,Preposition,-,-,6,-,-,4,-,peibbs,94.73684211,94.73684211,word,0,[nonword_response],632,632
-,1.72,41170,5,9,4,1,quite,Adverb,-,-,6,-,-,5,-,snophs,94.7826087,94.7826087,word,1,[nonword_response],395,395
554,3.92,62256,3,40,2,1,day,Noun,2.04,456072,3,Conjunction,43,3,1,but,94.82758621,94.82758621,word,1,[word_response],806,806
-,2.46,9544,5,1,6,2,extra,Adjective,-,-,8,-,-,4,-,skeighse,94.87179487,94.87179487,word,1,[nonword_response],525,525
833,2.03,125444,5,19,3,1,these,Determiner,3.62,79812,5,Number,15,3,1,three,94.91525424,94.91525424,word,1,[word_response],528,528
2329,2.81,1089559,2,34,2,1,it,Pronoun,1.42,212158,2,Adverb,41,2,1,so,94.95798319,94.95798319,word,1,[word_response],298,298
-,3.16,33611,5,17,3,1,young,Adjective,-,-,7,-,-,5,-,greipth,95,95,word,1,[nonword_response],404,404
532,4.11,695595,3,46,2,1,you,Pronoun,2.52,94386,4,Verb,35,3,1,made,95.04132231,95.04132231,word,1,[word_response],346,346
-,3.36,33071,4,35,3,1,days,Noun,-,-,5,-,-,4,-,dryng,95.08196721,95.08196721,word,1,[nonword_response],689,689
-,1.84,413535,4,8,4,1,from,Preposition,-,-,8,-,-,5,-,psephths,95.12195122,95.12195122,word,1,[nonword_response],395,395
-,1.82,52452,9,1,6,2,something,Pronoun,-,-,5,-,-,4,-,heivs,95.16129032,95.16129032,word,1,[nonword_response],425,425
485,4.39,10746,8,2,6,2,yourself,Pronoun,3,1883295,2,Preposition,39,2,1,in,95.2,95.2,word,1,[word_response],394,394
426,1.67,2941790,2,14,2,1,of,Preposition,4.52,13732,5,Noun,21,4,1,heart,95.23809524,95.23809524,word,1,[word_response],473,473
12,1.52,2682878,3,16,3,1,and,Conjunction,4.21,4701,5,Noun,23,4,1,coast,95.27559055,95.27559055,word,1,[word_response],372,372
47,3.36,33071,4,35,3,1,days,Noun,2.23,38747,4,Adverb,6,3,2,away,95.3125,95.3125,word,1,[word_response],381,381
-,2.89,32012,6,9,4,1,change,Verb,-,-,7,-,-,4,-,zaimbed,95.34883721,95.34883721,word,1,[nonword_response],336,336
234,3.64,2085,6,22,4,1,rolled,Verb,3.83,185113,2,Adverb,18,2,1,up,95.38461538,95.38461538,word,1,[word_response],359,359
-,3.92,62256,3,40,2,1,day,Noun,-,-,7,-,-,6,-,croants,95.41984733,95.41984733,word,1,[nonword_response],313,313
-,2.38,99506,3,30,3,1,get,Verb,-,-,7,-,-,6,-,stokced,95.45454545,95.45454545,word,1,[nonword_response],387,387
314,1.92,268723,4,42,3,1,been,Verb,2.79,22278,6,Verb,16,5,2,taking,95.4887218,95.4887218,word,1,[word_response],515,515
210,3.14,433599,3,27,3,1,his,Pronoun,2.96,9854,9,Noun,1,8,2,statement,95.52238806,95.52238806,word,1,[word_response],526,526
-,3.48,91354,4,31,3,1,work,Verb,-,-,6,-,-,3,-,rhouch,95.55555556,95.55555556,word,1,[nonword_response],396,396
-,4.64,18306,4,20,3,1,town,Noun,-,-,6,-,-,5,-,jalbed,95.58823529,95.58823529,word,1,[nonword_response],397,397
296,3,401,6,1,7,2,influx,Noun,1.67,2941790,2,Preposition,14,2,1,of,95.62043796,95.62043796,word,1,[word_response],370,370
553,1.84,413535,4,8,4,1,from,Preposition,1.44,160826,4,Adverb,23,3,1,then,95.65217391,95.65217391,word,1,[word_response],434,434
10,2.96,7480,7,17,5,2,setting,Verb,3.97,291402,3,Number,33,3,1,one,95.68345324,95.68345324,word,1,[word_response],461,461
21,4.18,156114,3,40,2,1,two,Number,4.7,11441,4,Noun,9,4,2,army,95.71428571,95.71428571,word,1,[word_response],394,394
-,2.21,30644,7,4,5,2,service,Noun,-,-,5,-,-,4,-,wirfs,95.74468085,95.74468085,word,1,[nonword_response],703,703
248,4.52,36529,5,27,3,1,night,Noun,2.93,433475,4,Pronoun,25,2,1,they,95.77464789,95.77464789,word,1,[word_response],441,441
11,2.21,30644,7,4,5,2,service,Noun,2.03,125444,5,Determiner,19,3,1,these,95.8041958,95.8041958,word,1,[word_response],420,420
19,3.76,10476,4,15,3,1,blue,Adjective,4.9,1858,5,Noun,21,4,1,chips,95.83333333,95.83333333,word,1,[word_response],338,338
1266,1.96,470949,3,36,2,1,are,Verb,2.77,35672,4,Adverb,34,3,1,less,95.86206897,95.86206897,word,1,[word_response],466,466
901,3.36,380284,3,41,2,1,she,Pronoun,1.52,129550,4,Adverb,16,4,1,just,95.89041096,95.89041096,word,1,[word_response],331,331
-,1.92,268723,4,42,3,1,been,Verb,-,-,6,-,-,5,-,skweng,95.23809524,95.23809524,word,0,[nonword_response],310,310
3161,2.38,99506,3,30,3,1,get,Verb,2.73,155352,3,Adverb,25,2,1,out,95.27027027,95.27027027,word,1,[word_response],354,354
808,2.04,456072,3,43,3,1,but,Conjunction,2.15,46180,7,Preposition,1,5,2,without,95.30201342,95.30201342,word,1,[word_response],381,381
-,1.42,212158,2,41,2,1,so,Adverb,-,-,7,-,-,4,-,wheubed,95.33333333,95.33333333,word,1,[nonword_response],329,329
